"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 08 16:30:59 IST 2022","Tue Nov 08 16:35:27 IST 2022","267988","","flipkart.login flipkart","","flipkart.login flipkart","","login data -- @1.1 ",""
"passed","Tue Nov 08 22:02:46 IST 2022","Tue Nov 08 22:07:42 IST 2022","295694","","","","","","login data -- @1.1 ",""
